,,price,area,Price_sqft,price^2,x.y,x2.y,
156,,16000000,1750,9142.857143,2.56E+14,28000000000,1.46286E+11,
157,,3250000,1050,3095.238095,1.05625E+13,3412500000,10059523810,
158,,5500000,1100,5000,3.025E+13,6050000000,27500000000,
159,,9000000,1815,4958.677686,8.1E+13,16335000000,44628099174,
160,,17500000,1600,10937.5,3.0625E+14,28000000000,1.91406E+11,
161,,9900000,1650,6000,9.801E+13,16335000000,59400000000,
162,,8500000,1460,5821.917808,7.225E+13,12410000000,49486301370,
163,,5890000,1150,5121.73913,3.46921E+13,6773500000,30167043478,
164,,9000000,1800,5000,8.1E+13,16200000000,45000000000,
165,,24000000,1632,14705.88235,5.76E+14,39168000000,3.52941E+11,
166,,12000000,1850,6486.486486,1.44E+14,22200000000,77837837838,
167,,6400000,1390,4604.316547,4.096E+13,8896000000,29467625899,
168,,33000000,3699,8921.330089,1.089E+15,1.22067E+11,2.94404E+11,
169,,10000000,1908,5241.090147,1E+14,19080000000,52410901468,
170,,8500000,1550,5483.870968,7.225E+13,13175000000,46612903226,
171,,7400000,1480,5000,5.476E+13,10952000000,37000000000,
172,,4300000,968,4442.14876,1.849E+13,4162400000,19101239669,
173,,5800000,1150,5043.478261,3.364E+13,6670000000,29252173913,
174,,9000000,1750,5142.857143,8.1E+13,15750000000,46285714286,
175,,3500000,800,4375,1.225E+13,2800000000,15312500000,
176,,12500000,1700,7352.941176,1.5625E+14,21250000000,91911764706,
177,,6200000,1210,5123.966942,3.844E+13,7502000000,31768595041,
178,,2550000,540,4722.222222,6.5025E+12,1377000000,12041666667,
179,,6000000,1100,5454.545455,3.6E+13,6600000000,32727272727,
180,,11000000,1610,6832.298137,1.21E+14,17710000000,75155279503,
181,,11000000,2245,4899.777283,1.21E+14,24695000000,53897550111,
182,,4100000,900,4555.555556,1.681E+13,3690000000,18677777778,
183,,9300000,1490,6241.610738,8.649E+13,13857000000,58046979866,
184,,7500000,1250,6000,5.625E+13,9375000000,45000000000,
185,,4500000,1130,3982.300885,2.025E+13,5085000000,17920353982,
186,,9400000,1625,5784.615385,8.836E+13,15275000000,54375384615,
187,,3400000,900,3777.777778,1.156E+13,3060000000,12844444444,
188,,7000000,1008,6944.444444,4.9E+13,7056000000,48611111111,
189,,22500000,1900,11842.10526,5.0625E+14,42750000000,2.66447E+11,
190,,20000000,2428,8237.23229,4E+14,48560000000,1.64745E+11,
191,,9700000,1250,7760,9.409E+13,12125000000,75272000000,
192,,13500000,2800,4821.428571,1.8225E+14,37800000000,65089285714,
193,,4500000,800,5625,2.025E+13,3600000000,25312500000,
194,,2650000,608,4358.552632,7.0225E+12,1611200000,11550164474,
195,,2900000,965,3005.181347,8.41E+12,2798500000,8715025907,
196,,7000000,1256,5573.248408,4.9E+13,8792000000,39012738854,
197,,79000000,7200,10972.22222,6.241E+15,5.688E+11,8.66806E+11,
198,,6040000,1341,4504.101417,3.64816E+13,8099640000,27204772558,
199,,22000000,2835,7760.141093,4.84E+14,62370000000,1.70723E+11,
200,,3000000,630,4761.904762,9E+12,1890000000,14285714286,
201,,23500000,2985,7872.696817,5.5225E+14,70147500000,1.85008E+11,
202,,15000000,2550,5882.352941,2.25E+14,38250000000,88235294118,
203,,11000000,1510,7284.768212,1.21E+14,16610000000,80132450331,
204,,4500000,1000,4500,2.025E+13,4500000000,20250000000,
205,,5000000,1205,4149.377593,2.5E+13,6025000000,20746887967,
206,,4000000,1010,3960.39604,1.6E+13,4040000000,15841584158,
207,,6200000,950,6526.315789,3.844E+13,5890000000,40463157895,
208,,9800000,1765,5552.407932,9.604E+13,17297000000,54413597734,
209,,6600000,1455,4536.082474,4.356E+13,9603000000,29938144330,
210,,5500000,1000,5500,3.025E+13,5500000000,30250000000,
211,,14000000,1750,8000,1.96E+14,24500000000,1.12E+11,
212,,15000000,1900,7894.736842,2.25E+14,28500000000,1.18421E+11,
213,,13200000,1935,6821.705426,1.7424E+14,25542000000,90046511628,
214,,2800000,800,3500,7.84E+12,2240000000,9800000000,
215,,14000000,1800,7777.777778,1.96E+14,25200000000,1.08889E+11,
216,,3400000,850,4000,1.156E+13,2890000000,13600000000,
217,,11500000,1478,7780.784844,1.3225E+14,16997000000,89479025710,
218,,3300000,900,3666.666667,1.089E+13,2970000000,12100000000,
219,,6000000,1234,4862.236629,3.6E+13,7404000000,29173419773,
220,,5600000,1507,3715.992037,3.136E+13,8439200000,20809555408,
221,,5800000,1365,4249.084249,3.364E+13,7917000000,24644688645,
222,,2100000,615,3414.634146,4.41E+12,1291500000,7170731707,
